stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,Y_small,Y_med,Y_large,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
7973,2.062675447,0.458538795,2.123296497,0.564059149,0.762014902,0.068761344,1.026016152,0.325099707,0.214241828,0.014500549,0.199741279,3.46E-78,11,5,0,6,1.708670207,167.9187931,2.75E-05,-9.631085584,-26.72390198,0.435988348
7974,2.136577437,1.812706546,1.022177517,0.349515606,0.16056717,0.983850996,0.946015265,0.275369157,0.464408896,0.441360655,2.03E-34,0.02304824,12,3,6,3,0.810022654,977.1030592,0.434918523,-1.02549803,-8.352485842,0.641688316
7975,1.537612113,0.483348981,0.932389804,0.965002057,0.24096494,0.277135463,0.86278234,0.191436622,0.238569728,0.209511762,0.029057966,1.69E-12,9,1,2,6,0.742358852,53.67915379,0.000112131,-2.193750225,-10.87370861,0.585951624
7976,1.388033502,1.484598433,0.132985443,0.526672616,0.864194239,0.580319658,0.981178959,0.298649057,0.250516658,0.135370013,0.095377221,0.019769423,2,2,0,0,0.851571154,1132.145233,0.210244082,-0.674949686,-7.541287021,0.903415
7977,0.129498247,1.749344769,0.323013663,0.330809703,0.950041934,0.856294355,0.977569693,0.295721917,0.08173871,0.030628867,0.036937215,0.014172629,0,0,0,0,0.706591768,1053.201399,0.180390982,-0.692759097,-7.444504243,0.915572196
7978,0.255632743,0.354403703,1.613963575,0.351821852,0.156194273,0.131649021,0.87195367,0.212367734,0.21224757,0.14647599,0.06577158,2.73E-44,7,1,0,6,0.723978868,64.4734019,0.00014508,-5.773674302,-18.25319712,0.467448148
7979,2.826372817,0.9238326,0.995989923,0.131624864,0.280377952,0.54216083,0.914076444,0.255942792,0.559199214,0.126430771,0.370170894,0.062597549,8,5,2,1,1.342714493,765.9188517,0.112299319,-0.706000143,-7.972536051,0.803082919
7980,1.847452982,1.678978391,0.262101607,0.584495692,0.059373927,0.647476979,0.906293306,0.256132642,0.38927233,0.327665887,1.58E-51,0.061606443,10,1,6,3,0.717249276,855.2275328,0.349961932,-1.033929249,-8.262136302,0.626490318
7981,0.469780013,1.204373381,2.377447342,0.01349678,0.633403191,0.499694028,0.881514139,0.256177018,0.392269811,0.15138237,0.240887441,5.51E-20,7,1,0,6,0.826460898,160.9633424,2.75E-05,-2.811781604,-12.05366252,0.517998788
7982,0.841812007,1.840279064,1.077326621,0.401221974,0.867804802,0.491783933,0.974874988,0.315792645,0.270726998,0.064866836,0.205860161,1.81E-13,7,1,0,6,1.064466099,224.685293,1.88E-05,-1.993411083,-10.46223386,0.555968016
7983,0.828853313,2.781986411,0.331756625,0.13735417,0.265970118,0.330184423,0.858262069,0.247909001,0.388796525,0.293274878,1.76E-46,0.095521647,9,0,6,3,0.627417267,720.6415165,0.2629568,-1.225502189,-8.488982549,0.537565926
7984,0.049111585,2.253618688,2.950628233,0.665932904,0.056234911,0.484965941,0.943825058,0.193612899,0.040676276,0.040676276,1.11E-114,3.38E-27,14,2,6,6,0.856224341,24.96226487,0,-5.584687176,-22.20158104,0.701166097
7985,0.296377245,1.517166378,1.15511254,0.993712834,0.60923735,0.625238783,0.908802156,0.188952988,0.112587409,0.11258368,6.53E-13,3.73E-06,13,1,6,6,0.798893758,25.82974652,7.35E-06,-1.588156931,-10.38762151,0.792650583
7986,2.866518104,1.636881289,2.245346911,0.022691329,0.593133262,0.784729534,1.015193835,0.277085278,0.478326653,0.151646376,0.252103153,0.074577124,8,5,3,0,1.612045736,1929.637701,0.257600922,-0.614826385,-7.858887788,0.854300551
7987,1.904803155,1.732994436,0.532487135,0.410682698,0.579250707,0.105691551,0.844838818,0.241415032,0.625188907,0.190639393,0.434546119,3.39E-06,6,0,0,6,0.925802656,167.7068917,6.25E-06,-1.582767576,-9.542116797,0.611250174
7988,0.601369078,2.918330912,0.191830837,0.816995637,0.953455253,0.797388451,0.975104275,0.29191248,0.098999657,0.049823461,0.037297107,0.011879088,0,0,0,0,0.70055392,1089.170234,0.212680324,-0.690961957,-7.44893567,0.917289163
7989,0.064919704,2.552774754,2.963834558,0.566828355,0.69208482,0.040463155,0.935350414,0.191043676,0.054281554,0.054281554,3.36E-17,2.41E-106,14,2,6,6,0.843689576,24.78695598,0,-14.14119384,-38.28076422,0.527165199
7990,2.770132472,2.537960023,0.88948255,0.113081516,0.916912547,0.661473478,1.072286111,0.342692069,0.122305667,2.39E-46,0.122305227,4.40E-07,12,6,0,6,2.418506068,171.0670505,4.54E-06,-1.176674724,-9.423042934,0.640521189
7991,1.185364684,2.189406417,1.765321127,0.464569005,0.410603678,0.643032202,0.815349664,0.219151124,0.459966535,0.352429035,2.25E-13,0.1075375,8,0,6,2,0.601623341,655.00454,0.172427691,-0.950147658,-8.008132173,0.701243569
7992,1.84634104,2.877955589,1.985329188,0.137967698,0.189321986,0.407371821,0.691856637,0.183628861,0.820264677,0.665193078,3.94E-18,0.155071599,11,0,6,5,0.56091917,378.3758869,0.040307653,-2.08282702,-10.15109187,0.456121582
7993,0.917614908,1.407302181,1.257991842,0.048428106,0.880418213,0.786301219,1.022791236,0.332192868,0.252832366,0.039779438,0.210372108,0.002680821,10,5,0,5,1.428444883,382.3432261,0.014865446,-0.750225833,-8.091814903,0.807606971
7994,2.622881494,1.53665716,0.130520644,0.688331024,0.223078239,0.775900706,0.933524829,0.263793299,0.384063193,0.353985612,8.25E-27,0.030077582,11,2,6,3,0.761378318,907.4533735,0.401037395,-1.004145041,-8.265613726,0.644436574
7995,2.635085972,2.765132822,1.392458268,0.04998218,0.186095987,0.183385549,0.658700576,0.175173183,1.074845077,0.454812297,0.467778821,0.152253959,11,2,4,5,0.644891436,336.3776587,0.023268438,-2.722948804,-11.48089065,0.433549085
7996,1.214446531,0.9707563,1.263915885,0.242680958,0.995317855,0.444379619,1.072667906,0.346868854,0.102586489,0.006714649,0.09587184,3.09E-19,12,6,0,6,2.053001361,169.8027882,1.53E-05,-2.63187323,-12.30757495,0.50781912
7997,0.830294912,0.740036221,2.152978859,0.917933122,0.686714418,0.814711063,0.903459453,0.244521554,0.12757473,0.06779687,0.02407785,0.03570001,0,0,0,0,0.577558052,1055.040752,0.213122743,-0.740327157,-7.551695301,0.895863907
7998,1.599110031,2.542779545,1.061336966,0.389826561,0.148270078,0.504705469,0.803120493,0.221099475,0.568986245,0.431891855,6.58E-48,0.13709439,9,0,6,3,0.641573223,595.2019549,0.158711234,-1.279922181,-8.635860306,0.542475785
7999,1.310104683,2.552544911,0.154766747,0.691518798,0.434225144,0.137343459,0.887170175,0.245888681,0.312547928,0.254765049,5.47E-33,0.057782879,9,0,6,3,0.652485382,748.3445395,0.302257809,-1.058485484,-8.212315463,0.595853477
8000,0.539855744,2.749571197,1.583985861,0.618233423,0.672672423,0.267533435,0.799349675,0.172897926,0.331516254,0.315964764,0.01555149,1.59E-22,12,1,5,6,0.614719237,46.44269865,2.13E-06,-3.600915877,-13.71197846,0.524066811
8001,1.632260621,2.840504866,1.283970129,0.931724117,0.142787693,0.254483637,0.860124547,0.178061286,0.24510213,0.24510213,2.76E-85,8.72E-19,13,1,6,6,0.752837032,26.75935203,1.11E-18,-4.170607482,-17.65615884,0.728012452
8002,1.034536771,1.159691434,2.57510346,0.331942323,0.737516425,0.273307063,0.948282102,0.298464018,0.357058532,0.083774654,0.273283879,6.42E-45,6,0,0,6,1.071931319,206.9591643,2.64E-05,-5.725526703,-18.23428664,0.456903061
8003,0.261678787,2.47502598,0.15721659,0.006068432,0.045155038,0.904184084,0.939662158,0.264387041,0.122272616,0.112872122,4.19E-105,0.009400494,9,1,6,2,0.645939884,922.1757281,0.390274103,-0.918536789,-8.020146249,0.709557063
8004,2.148584116,1.179138795,1.240141807,0.605826081,0.286896377,0.993529586,0.938548814,0.264633931,0.380197395,0.355525548,3.49E-11,0.024671847,11,2,6,3,0.760941978,954.139696,0.411014887,-0.960017002,-8.189277722,0.673288292
8005,1.430732253,2.959736489,0.434392369,0.039354446,0.993032826,0.920646447,1.090351217,0.323002898,0.181195194,0.118340224,0.053648316,0.009206654,4,4,0,0,1.250960592,1728.785418,0.237289955,-0.620009194,-7.631898376,0.907482719
8006,1.448478624,2.154245164,0.413537248,0.958094893,0.992789096,0.950097234,0.974679637,0.285898295,0.085544703,0.048355268,0.028566281,0.008623154,0,0,0,0,0.680000256,1176.622029,0.235935578,-0.690886521,-7.444243574,0.921273768
8007,0.147857831,0.274347418,0.162362026,0.522094543,0.122027243,0.982402712,0.940096825,0.259871825,0.063757502,0.045145712,0.010664298,0.007947492,4,0,3,1,0.615780921,917.4336665,0.323042814,-0.779367548,-7.669521972,0.843105702
8008,1.721937701,1.579534648,1.587479501,0.766674091,0.517634005,0.892885445,0.931885883,0.255030723,0.267392032,0.242829321,4.76E-16,0.024562711,8,0,6,2,0.687192137,987.6559437,0.376675011,-0.874758404,-7.948318596,0.736639454
8009,1.128500126,2.679318553,2.313829191,0.616898138,0.850334078,0.956789793,0.954575091,0.277279613,0.252045522,0.178056617,0.056597401,0.017391504,1,1,0,0,0.735218402,1072.575089,0.29450663,-0.710305338,-7.577862959,0.886918214
8010,2.632619569,0.625000976,2.906443421,0.291452471,0.810215598,0.987576771,1.082665748,0.313937519,0.201525277,0.118114312,0.069080134,0.014330831,4,4,0,0,1.349346449,1742.405788,0.23379388,-0.618128574,-7.685741145,0.893959105
8011,2.620200681,0.452892025,2.283364745,0.755672796,0.660120619,0.135682705,0.995710255,0.310053579,0.267358052,0.042888441,0.224469611,1.06E-60,9,3,0,6,1.443284477,162.4303889,3.76E-05,-7.571759502,-22.30603981,0.444434632
8012,2.067974689,2.958539028,2.651864508,0.231913116,0.856938516,0.10280337,1.018265224,0.330250752,0.304129905,0.044096821,0.260033084,3.28E-79,11,5,0,6,1.60557822,239.3192432,3.10E-06,-9.755531539,-26.89566662,0.435646327
8013,0.088990186,1.12262821,2.157384942,0.112486483,0.40020335,0.137481531,0.916359766,0.18614618,0.078215736,0.078215736,1.29E-16,8.14E-56,14,2,6,6,0.806090515,24.14639278,0,-8.225128159,-25.81602736,0.61078631
8014,0.774789941,2.328323249,2.696119732,0.765687383,0.039399986,0.399787263,0.791244158,0.162597102,0.376684689,0.376684689,2.52E-106,6.76E-22,13,1,6,6,0.621029162,23.97926103,0,-4.783138181,-19.31780221,0.720396556
8015,2.216494169,2.290322056,1.03038082,0.746542333,0.212350382,0.815588527,0.910818062,0.248789123,0.340362082,0.287161713,3.92E-53,0.053200369,8,0,6,2,0.686558558,995.1392767,0.343467649,-0.860589423,-7.908794675,0.743127493
8016,1.863341178,1.657052274,0.412280323,0.79396445,0.269127372,0.708148557,0.902850744,0.248664769,0.317684106,0.259399821,1.27E-28,0.058284285,8,0,6,2,0.669900328,893.8710525,0.32329808,-0.892818701,-7.943282901,0.717767998
