stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
2237,2.926287191,0.699408262,2.785988714,0.869547538,0.163767088,0.45260972,0.894173504,0.137797987,0.20699224,7,1,3,3,1.025400078,27.35964494,3.81E-05,-1.486005827,-10.3794687,0.785586445
2238,0.70908264,0.240960409,0.643888158,0.580454976,0.551215394,0.240656496,1.015714223,0.276236673,0.153906858,5,2,0,3,1.722206339,104.9167701,1.73E-07,-2.991852978,-12.94412277,0.503000285
2239,0.282501487,0.435884176,2.383407872,0.212462415,0.637803212,0.94673956,0.986348655,0.270914985,0.086787937,0,0,0,0,0.852681033,108.4397768,0.26246662,-0.670286136,-7.537179286,0.902181516
2240,1.980829028,2.251149787,0.086732558,0.458821448,0.186555813,0.170377289,0.911553188,0.249567122,0.312847167,5,1,3,1,0.827234226,60.92257304,0.382005893,-1.431394843,-9.04890452,0.391123295
2241,2.256791635,2.71065952,2.768743646,0.353709965,0.648813869,0.61538355,1.055966249,0.302449998,0.192682695,5,3,0,2,2.18441082,217.7657861,0.060659099,-0.689205561,-8.255790877,0.750518632
2242,1.681345083,2.612330853,2.197664469,0.133803172,0.43923452,0.931080223,0.954835547,0.28193846,0.395772329,5,1,3,1,0.928046865,64.92310256,0.462934783,-1.334181572,-8.975873182,0.450798065
2243,2.792951857,0.247293615,0.130286845,0.098877323,0.442040432,0.030895891,1.026288419,0.278988819,0.184414341,7,3,1,3,2.855460933,141.7178023,0.003840836,-0.814175749,-8.932924648,0.763307268
2244,2.675176085,2.445612208,1.134448987,0.454500267,0.41430948,0.663370186,0.924950939,0.252717661,0.367151983,5,1,3,1,0.863602877,71.360659,0.404977697,-1.267339171,-8.810403749,0.464248157
2245,2.497107526,0.109328834,0.853329065,0.349824687,0.93040846,0.470039884,1.08990162,0.316523025,0.008453926,7,3,1,3,2.922254367,129.7057288,3.46E-16,-2.750944746,-13.31210494,0.597235376
2246,2.343862848,1.332833515,0.948654715,0.775869592,0.276620905,0.87961785,0.931656209,0.237796068,0.095670973,4,0,3,1,0.742722163,64.79059939,0.373951595,-1.023454935,-8.272997495,0.597296647
2247,1.222393863,1.619088985,0.020161133,0.391355598,0.689194652,0.570251793,0.99307913,0.275616675,0.197892568,1,1,0,0,0.957886879,121.9109804,0.291000703,-0.65419759,-7.59552438,0.90495813
2248,1.424355486,1.600179861,0.098362674,0.245275166,0.315817303,0.437943083,0.924062416,0.261695754,0.354736183,5,1,3,1,0.860764959,62.70509235,0.405818655,-1.373680182,-8.982867402,0.414746161
